dataset,cluster,proc,fold,rmask,l,lsparse,pmin,lr,wd,val_acc,test_acc,val_ceu_synergy,test_ceu_synergy
mosi,86,11,0,learned,0.01,100,,0.0005,0.001,79.91,74.85,0.2171,0.2332
mosi,86,13,0,learned,0.1,0.01,,0.0005,0.001,79.04,71.36,0.1305,0.1113
mosi,86,14,0,learned,0.1,0.1,,0.0005,0.001,79.91,73.40,0.2171,0.2332
mosi,86,25,0,learned,10,0.01,,0.0005,0.001,79.69,72.74,0.2171,0.2447
mosi,86,31,0,learned,100,0.01,,0.0005,0.001,78.60,73.69,0.2171,0.2226
mosi,86,32,0,learned,100,0.1,,0.0005,0.001,76.20,75.80,0.3045,0.2889
mosi,86,37,0,random,0.001,,0.5,0.0005,0.001,78.82,71.50,0.1305,0.1220
mosi,86,78,1,learned,10,0.001,,0.0005,0.001,75.33,69.53,0.1741,0.0560
mosi,86,84,1,learned,100,0.001,,0.0005,0.001,75.11,67.13,0.2171,0.1836
mosi,86,88,1,learned,100,10,,0.0005,0.001,75.33,70.48,0.0438,0.0986
mosi,86,99,1,random,1,,0.3,0.0005,0.001,79.69,74.27,0.2171,0.1691
mosi,86,129,2,learned,1,1,,0.0005,0.001,76.42,68.88,0.0000,0.1609
mosi,86,130,2,learned,1,10,,0.0005,0.001,78.38,72.01,0.0775,0.1854
mosi,86,134,2,learned,10,0.1,,0.0005,0.001,77.73,69.90,0.2306,0.1609
mosi,86,142,2,learned,100,10,,0.0005,0.001,75.98,67.49,0.2306,0.1482
mosi,86,156,2,random,10,,0.3,0.0005,0.001,76.86,67.42,0.2306,0.1973
mosi,86,157,2,random,10,,0.5,0.0005,0.001,78.82,69.17,0.1534,0.1482
mosi,86,158,2,random,10,,0.8,0.0005,0.001,76.86,68.22,0.0000,0.1109
mosi,86,159,2,random,100,,0.3,0.0005,0.001,71.83,66.76,0.0775,0.0991
mosi,86,160,2,random,100,,0.5,0.0005,0.001,75.98,67.27,0.0775,0.1356
mosi,86,161,2,random,100,,0.8,0.0005,0.001,73.14,68.66,0.0775,0.1236
mustard,85,2,0,learned,0.001,0.1,,0.0005,0.001,65.30,59.33,0.3335,0.5129
mustard,85,3,0,learned,0.001,1,,0.0005,0.001,67.16,61.19,0.3702,0.3590
mustard,85,4,0,learned,0.001,10,,0.0005,0.001,66.42,60.82,0.3702,0.3333
mustard,85,5,0,learned,0.001,100,,0.0005,0.001,64.93,58.21,0.2591,0.3590
mustard,85,6,0,learned,0.01,0.001,,0.0005,0.001,65.67,59.70,0.4074,0.3845
mustard,85,7,0,learned,0.01,0.01,,0.0005,0.001,66.04,61.94,0.4447,0.4871
mustard,85,11,0,learned,0.01,100,,0.0005,0.001,69.03,64.55,0.4447,0.4359
mustard,85,22,0,learned,1,10,,0.0005,0.001,67.16,61.57,0.3702,0.1794
mustard,85,27,0,learned,10,1,,0.0005,0.001,65.67,59.70,0.2223,0.3590
mustard,85,34,0,learned,100,10,,0.0005,0.001,69.40,56.72,0.4447,0.2820
mustard,85,39,0,random,0.01,,0.3,0.0005,0.001,68.66,61.19,0.4447,0.4615
mustard,85,40,0,random,0.01,,0.5,0.0005,0.001,64.93,58.21,0.2591,0.3590
mustard,85,45,0,random,1,,0.3,0.0005,0.001,65.67,60.45,0.4074,0.2820
mustard,85,48,0,random,10,,0.3,0.0005,0.001,64.55,57.46,0.2591,0.3590
mustard,85,49,0,random,10,,0.5,0.0005,0.001,64.18,60.82,0.4074,0.4871
mustard,85,50,0,random,10,,0.8,0.0005,0.001,65.67,60.07,0.5926,0.4871
mustard,85,53,0,random,100,,0.8,0.0005,0.001,66.42,60.82,0.3335,0.3590
mustard,85,59,1,learned,0.001,100,,0.0005,0.001,58.96,52.24,0.0644,0.1778
mustard,85,73,1,learned,1,0.01,,0.0005,0.001,60.07,54.10,0.2257,0.3332
mustard,85,83,1,learned,10,100,,0.0005,0.001,67.16,60.45,0.1292,0.2001
mustard,85,89,1,learned,100,100,,0.0005,0.001,59.33,50.75,0.0968,0.0667
mustard,85,97,1,random,0.1,,0.5,0.0005,0.001,59.33,55.60,0.1613,0.2445
mustard,85,101,1,random,1,,0.8,0.0005,0.001,60.82,58.96,0.2257,0.2889
mustard,85,112,2,learned,0.001,10,,0.0005,0.001,62.69,63.06,0.3199,0.6062
mustard,85,124,2,learned,0.1,10,,0.0005,0.001,67.91,61.19,0.4400,0.5757
mustard,85,130,2,learned,1,10,,0.0005,0.001,58.58,60.82,0.2401,0.5152
mustard,85,141,2,learned,100,1,,0.0005,0.001,65.67,60.45,0.3601,0.6362
mustard,85,143,2,learned,100,100,,0.0005,0.001,59.33,62.69,0.2799,0.5152
mustard,85,146,2,random,0.001,,0.8,0.0005,0.001,66.04,61.19,0.2401,0.5152
